,Specialty,State,METHADONE.HCL,OXYCODONE.ACETAMINOPHEN,HYDROCODONE.ACETAMINOPHEN,ACETAMINOPHEN.CODEINE,FENTANYL,TRAMADOL.HCL,MORPHINE.SULFATE.ER,OXYCODONE.HCL,MORPHINE.SULFATE,OXYCONTIN,HYDROMORPHONE.HCL
60,Dentist,AZ,0,0,0,0,0,0,0,0,0,0,0
61,Nurse Practitioner,IL,0,0,16,0,0,17,0,0,0,0,0
62,Nurse Practitioner,KY,0,0,0,0,0,0,0,0,0,0,0
63,Physician Assistant,OH,0,0,22,0,0,0,0,0,0,0,0
64,Optometry,MD,0,0,0,0,0,0,0,0,0,0,0
65,Nurse Practitioner,NY,0,0,0,0,0,0,0,0,0,0,0
66,Internal Medicine,NE,0,0,0,0,0,13,0,0,0,0,0
67,Optometry,NE,0,0,0,0,0,0,0,0,0,0,0
68,Internal Medicine,MO,0,52,200,33,11,306,0,0,0,15,0
69,General Surgery,NY,0,0,56,12,0,37,0,0,0,0,0
70,Internal Medicine,TN,0,16,279,0,12,75,0,0,0,0,0
71,Cardiology,PA,0,0,0,0,0,0,0,0,0,0,0
72,Obstetrics/Gynecology,KY,0,0,0,0,0,0,0,0,0,0,0
73,Family Practice,AZ,0,0,12,0,0,0,26,30,0,12,0
74,Family Practice,IL,0,0,59,0,0,27,0,0,0,0,0
75,Family Practice,MI,0,0,164,16,32,105,0,0,0,11,0
76,Family Practice,OH,40,220,437,13,19,104,53,74,36,13,0
77,Obstetrics/Gynecology,IL,0,0,33,0,0,0,0,0,0,0,0
78,Family Practice,OH,0,21,35,0,0,38,0,0,0,0,0
79,Nurse Practitioner,NY,0,0,18,0,0,0,0,0,0,0,0
80,Otolaryngology,TX,0,0,0,0,0,0,0,0,0,0,0
81,Family Practice,NC,0,38,192,0,0,36,0,25,0,11,0
82,Internal Medicine,CA,0,21,127,14,0,0,20,0,0,21,0
83,Psychiatry,KY,0,0,0,0,0,0,0,0,0,0,0
84,Family Practice,AZ,0,22,69,0,0,22,16,31,0,0,0
85,Ophthalmology,NY,0,0,0,0,0,0,0,0,0,0,0
86,Cardiology,RI,0,0,0,0,0,0,0,0,0,0,0
87,Internal Medicine,NC,21,71,181,0,0,66,0,38,0,0,14
88,Obstetrics/Gynecology,TX,0,0,0,0,0,0,0,0,0,0,0
89,Internal Medicine,GA,0,74,215,17,0,28,0,0,0,0,0
90,Internal Medicine,NC,0,0,0,0,0,0,0,0,0,0,0
91,Physician Assistant,KS,0,76,294,0,55,106,16,0,0,0,0
92,Emergency Medicine,MO,0,36,41,0,0,0,0,0,0,0,0
93,Cardiology,LA,0,0,0,0,0,14,0,0,0,0,0
94,Dentist,FL,0,0,37,0,0,0,0,0,0,0,0
95,Optometry,MO,0,0,0,0,0,0,0,0,0,0,0
96,General Surgery,IN,0,0,72,0,0,0,0,0,0,0,0
97,Family Practice,NE,0,0,0,0,0,25,0,0,0,0,0
98,Family Practice,TX,0,0,240,0,0,62,0,0,0,0,0
99,Family Practice,MN,0,0,88,0,43,85,0,29,0,14,0
100,Physician Assistant,MA,0,0,0,0,0,0,0,0,0,0,0
101,Family Practice,KS,0,26,201,0,20,21,0,13,0,12,0
102,Dentist,FL,0,0,0,0,0,0,0,0,0,0,0
103,Family Practice,NY,0,0,0,0,0,0,0,0,0,0,0
104,Optometry,WI,0,0,0,0,0,0,0,0,0,0,0
105,Family Practice,WI,0,12,361,13,0,38,25,18,0,12,0
106,Internal Medicine,NC,0,19,87,0,20,149,0,0,0,0,0
107,Pulmonary Disease,PA,11,48,19,0,26,0,14,0,0,0,0
108,Emergency Medicine,UT,0,0,27,0,0,0,0,0,0,0,0
109,Internal Medicine,MA,21,38,0,0,0,20,0,64,0,15,0
110,Hematology/Oncology,TX,0,0,26,0,0,13,0,0,0,0,0
111,Internal Medicine,CA,0,0,71,0,0,0,24,0,14,21,30
112,Family Practice,FL,0,0,0,0,0,0,0,0,0,0,0
113,Internal Medicine,MA,0,36,89,0,0,48,0,24,0,18,0
114,Family Practice,CA,0,55,266,26,0,27,26,0,0,0,12
115,General Practice,WA,0,0,0,0,0,12,0,0,0,0,0
116,Urology,SC,0,67,15,0,0,0,0,0,0,0,0
117,Oral Surgery (dentists only),PA,0,0,34,0,0,0,0,0,0,0,0
118,Psychiatry,IN,0,0,0,0,0,0,0,0,0,0,0
119,Internal Medicine,OH,0,127,173,41,0,115,0,14,0,32,0
120,Nurse Practitioner,NC,0,0,0,0,0,0,0,0,0,0,0
121,Family Practice,TX,0,0,0,0,0,0,0,0,0,0,0
122,Family Practice,TX,0,0,25,0,0,14,0,0,0,0,0
123,Family Practice,NY,0,14,73,0,0,15,0,0,0,0,0
124,Physician Assistant,VA,0,0,0,0,0,0,0,0,0,0,0
125,Internal Medicine,CA,0,0,12,0,0,0,0,0,0,0,0
126,Podiatry,FL,0,0,34,11,0,0,0,0,0,0,0
127,Family Practice,NJ,0,0,0,0,0,22,0,0,0,0,0
128,Emergency Medicine,IL,0,0,51,0,0,0,0,0,0,0,0
129,Family Practice,MT,0,0,55,19,19,24,0,0,0,0,0
130,Internal Medicine,FL,0,0,0,0,0,0,0,0,0,0,0
131,Nephrology,MO,0,0,95,0,0,92,0,19,0,0,0
132,Internal Medicine,SC,0,0,97,0,0,57,12,21,0,0,0
133,Internal Medicine,CA,0,44,332,27,73,82,16,11,0,0,0
134,Gastroenterology,TX,0,0,0,0,0,0,0,0,0,0,0
135,Internal Medicine,MO,0,0,0,0,0,0,0,0,0,0,0
136,Physician Assistant,OR,0,0,0,0,0,0,0,0,0,0,0
137,Family Practice,OH,0,0,0,0,0,0,0,0,0,0,0
138,Anesthesiology,OK,47,17,89,0,58,26,69,138,32,34,88
139,Obstetrics/Gynecology,OH,0,0,0,0,0,0,0,0,0,0,0
140,Nurse Practitioner,IN,0,0,0,0,0,0,0,0,0,0,0
141,Emergency Medicine,MD,0,50,22,0,0,24,0,0,0,0,0
142,Gastroenterology,PA,0,0,0,0,0,0,0,0,0,0,0
143,Nurse Practitioner,NC,0,14,60,0,15,50,0,11,0,0,0
144,Ophthalmology,KY,0,0,0,0,0,0,0,0,0,0,0
145,Physician Assistant,NY,0,0,41,0,0,0,0,0,0,0,0
146,Internal Medicine,NJ,0,31,30,0,15,234,0,0,0,0,0
147,General Surgery,AL,0,46,36,0,0,0,0,0,0,0,18
148,Family Practice,CA,0,26,64,0,0,36,16,0,0,0,0
149,Neurology,MI,0,0,18,0,0,0,0,0,0,0,0
150,Family Practice,OK,0,11,222,0,21,104,24,0,0,0,0
151,Family Practice,PA,0,0,16,0,0,0,0,12,0,0,0
152,Internal Medicine,IL,0,0,125,0,23,47,0,0,0,0,0
153,Gastroenterology,MA,0,14,23,0,0,25,0,15,0,0,0
154,Dentist,KY,0,0,41,0,0,0,0,0,0,0,0
155,Internal Medicine,MA,0,0,0,0,0,0,0,0,0,0,0
156,Emergency Medicine,PA,0,0,38,0,0,0,0,0,0,0,0
157,Rheumatology,NY,0,0,0,0,0,12,0,0,0,0,0
158,Family Practice,CT,0,62,68,0,12,0,56,50,0,0,42
159,Urology,OH,0,17,28,0,0,13,0,0,0,0,0
160,Internal Medicine,MI,0,0,40,22,0,19,12,0,0,0,0
161,Dentist,TX,0,0,0,0,0,0,0,0,0,0,0
162,Nurse Practitioner,MS,0,0,64,25,0,49,0,0,0,0,0
163,Dentist,PR,0,0,0,0,0,0,0,0,0,0,0
164,Neurology,CA,0,0,77,0,0,14,0,0,0,0,0
165,Dentist,NM,0,0,15,0,0,0,0,0,0,0,0
166,Dentist,IL,0,0,0,0,0,0,0,0,0,0,0
167,Dentist,PA,0,0,0,0,0,0,0,0,0,0,0
168,Psychiatry,MI,0,0,15,0,0,0,0,0,0,0,0
169,Dentist,TX,0,0,20,0,0,0,0,0,0,0,0
170,Dentist,AL,0,0,63,0,0,0,0,0,0,0,0
171,Internal Medicine,PA,0,0,0,0,0,0,0,0,0,0,0
172,Internal Medicine,PA,0,0,0,13,0,0,0,0,0,0,0
173,Gastroenterology,KY,0,0,0,0,0,14,0,0,0,0,0
174,Family Practice,TX,0,0,221,0,0,101,0,0,0,0,0
175,Cardiology,CA,0,0,116,64,0,320,0,0,0,12,0
176,Orthopedic Surgery,FL,0,15,57,0,0,13,0,0,0,0,0
177,Emergency Medicine,CA,0,0,60,0,0,0,0,0,0,0,0
178,General Practice,PR,0,0,0,0,0,109,0,0,0,0,0
179,Internal Medicine,FL,0,214,45,0,14,107,11,14,15,0,0
180,Physician Assistant,CT,0,0,0,0,0,0,0,0,0,0,0
181,Nephrology,NV,0,0,0,0,0,0,0,0,0,0,0
182,Anesthesiology,SC,66,257,384,0,90,65,66,86,79,54,20
183,Dentist,OH,0,0,30,0,0,0,0,0,0,0,0
184,Psychiatry & Neurology,CA,0,0,0,0,0,0,0,0,0,0,0
185,Dentist,WI,0,0,0,0,0,0,0,0,0,0,0
186,Internal Medicine,NY,0,66,175,36,48,185,27,127,16,12,0
187,Dentist,OH,0,0,0,0,0,0,0,0,0,0,0
188,Family Practice,IL,0,0,166,16,0,61,0,11,0,0,0
189,Nurse Practitioner,TX,0,0,0,0,0,0,0,0,0,0,0
190,Family Practice,ME,0,0,109,0,0,20,0,85,0,19,0
191,Dentist,NY,0,0,0,0,0,0,0,0,0,0,0
192,Emergency Medicine,TX,0,0,42,0,0,18,0,0,0,0,0
193,Psychiatry,ND,0,0,0,0,0,0,0,0,0,0,0
194,Psychiatry & Neurology,MA,0,0,0,0,0,0,0,0,0,0,0
195,Dentist,FL,0,24,0,11,0,0,0,0,0,0,0
196,Dentist,PA,0,0,0,0,0,0,0,0,0,0,0
197,Dentist,AR,0,0,69,0,0,0,0,0,0,0,0
198,Family Practice,IL,0,0,61,12,0,24,0,0,0,0,0
199,Nurse Practitioner,PA,0,0,0,0,0,0,0,0,0,0,0
200,Nurse Practitioner,WA,0,13,62,0,0,0,16,0,0,0,0
201,Emergency Medicine,WA,0,11,88,0,0,16,0,0,0,0,0
202,Internal Medicine,MD,0,0,0,0,0,25,0,0,0,0,0
203,Dentist,TX,0,0,0,15,0,0,0,0,0,0,0
204,Physician Assistant,TN,0,35,190,0,0,55,25,15,12,0,0
205,Psychiatry & Neurology,FL,0,0,0,0,0,0,0,0,0,0,0
206,Internal Medicine,PA,0,20,0,0,0,0,0,0,0,0,0
207,Dentist,AZ,0,0,32,0,0,0,0,0,0,0,0
208,Pediatric Medicine,NE,0,0,0,0,0,0,0,0,0,0,0
209,Internal Medicine,PA,0,0,0,0,0,0,0,0,0,0,0
210,Obstetrics/Gynecology,NJ,0,0,0,0,0,0,0,0,0,0,0
211,Physician Assistant,GA,11,0,66,0,0,31,0,0,0,0,0
212,Dentist,ME,0,0,48,0,0,0,0,0,0,0,0
213,Rheumatology,CA,0,20,112,0,0,16,12,0,0,0,0
214,Cardiology,TN,0,0,11,0,0,0,0,0,0,0,0
215,Family Practice,NY,0,0,0,0,0,47,0,0,0,0,0
216,Physician Assistant,ID,53,21,139,0,0,17,0,21,0,0,0
217,Dentist,TX,0,0,13,17,0,0,0,0,0,0,0
218,Gastroenterology,CA,0,0,0,0,0,0,0,0,0,0,0
219,Physical Medicine and Rehabilitation,NY,0,11,0,0,0,0,0,0,0,0,0
220,Internal Medicine,CA,13,76,571,0,42,14,80,25,0,24,22
221,Family Practice,CA,16,107,352,75,28,0,47,0,12,0,0
222,Dentist,AZ,0,0,17,0,0,0,0,0,0,0,0
223,Dentist,NJ,0,0,0,0,0,0,0,0,0,0,0
224,Nurse Practitioner,CT,0,0,0,0,0,0,0,0,0,0,0
225,Nurse Practitioner,CA,0,0,0,0,0,0,0,0,0,0,0
226,Nurse Practitioner,LA,0,0,88,0,0,57,0,0,0,0,0
227,Family Practice,MN,0,0,0,0,0,0,0,0,0,0,0
228,Podiatry,NY,0,0,0,0,0,0,0,0,0,0,0
229,Internal Medicine,NY,0,18,0,18,0,0,0,0,0,0,0
230,Dentist,MO,0,0,14,0,0,0,0,0,0,0,0
231,Nurse Practitioner,NY,0,0,28,0,0,0,0,0,0,0,0
232,Psychiatry,AK,0,0,0,0,0,0,0,0,0,0,0
233,Physician Assistant,GA,0,0,0,0,0,0,0,0,0,0,0
234,General Surgery,AR,0,0,113,0,0,0,0,0,0,0,0
235,Family Practice,MI,18,39,68,12,0,19,0,0,11,0,0
236,Physician Assistant,UT,0,20,25,0,0,0,0,0,0,0,0
237,Nurse Practitioner,WA,0,0,0,0,0,0,0,0,0,0,0
238,Nurse Practitioner,NY,0,0,0,0,0,0,0,0,0,0,0
239,Family Practice,IL,0,0,143,18,16,32,0,0,0,14,0
240,Dentist,CA,0,0,135,0,0,20,0,0,0,0,0
241,Dentist,FL,0,0,0,0,0,0,0,0,0,0,0
242,Physician Assistant,CO,0,0,14,0,0,0,0,18,0,0,0
243,Podiatry,WV,0,23,24,0,0,0,0,0,0,0,0
244,Podiatry,CA,0,0,0,0,0,0,0,0,0,0,0
245,Dentist,TX,0,0,19,0,0,0,0,0,0,0,0
246,Nurse Practitioner,MA,0,0,0,0,0,0,0,0,0,0,0
247,Family Practice,FL,0,0,22,0,0,11,0,0,0,0,0
248,Podiatry,NY,0,0,0,0,0,0,0,0,0,0,0
249,Dentist,NJ,0,0,0,0,0,0,0,0,0,0,0
250,Nephrology,MN,0,0,0,0,0,0,0,0,0,0,0
251,Dentist,TN,0,0,0,19,0,0,0,0,0,0,0
252,General Practice,PR,0,0,0,0,0,85,0,0,0,0,0
253,Hematology/Oncology,CA,0,0,30,0,0,0,0,0,11,0,0
254,Emergency Medicine,TX,0,0,33,0,0,13,0,0,0,0,0
255,Dentist,PA,0,0,0,0,0,0,0,0,0,0,0
256,Dentist,OH,0,0,0,0,0,0,0,0,0,0,0
257,Dentist,WV,0,0,0,0,0,0,0,0,0,0,0
258,Emergency Medicine,CA,0,0,12,0,0,0,0,0,0,0,0
259,Neurology,CO,0,0,0,0,0,0,0,0,0,0,0
260,Family Practice,ME,0,14,60,0,14,13,0,55,0,0,0
261,Oral Surgery (dentists only),AR,0,13,159,0,0,0,0,0,0,0,0
262,Physician Assistant,IA,0,0,0,0,0,0,0,0,0,0,0
263,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
264,Physician Assistant,MI,0,0,13,0,0,0,0,0,0,0,0
265,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
266,Nurse Practitioner,NY,0,0,0,0,0,0,0,0,0,0,0
267,Orthopedic Surgery,TX,0,59,1389,0,327,63,32,94,0,0,0
268,Dentist,NY,0,0,11,0,0,0,0,0,0,0,0
269,Dentist,RI,0,0,0,0,0,0,0,0,0,0,0
270,Internal Medicine,AL,0,0,0,0,0,61,0,0,0,0,0
271,Psychiatry,NY,0,0,0,0,0,0,0,0,0,0,0
272,Emergency Medicine,IL,0,0,51,0,0,0,0,0,0,0,0
273,Dentist,MA,0,0,0,0,0,0,0,0,0,0,0
274,Internal Medicine,NC,0,0,0,0,0,0,0,14,0,0,0
275,Ophthalmology,MI,0,0,0,0,0,0,0,0,0,0,0
276,Dentist,MD,0,0,0,0,0,0,0,0,0,0,0
277,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
278,Family Practice,KY,0,0,39,25,0,73,0,0,0,0,0
279,Nephrology,NC,0,0,0,0,0,0,0,0,0,0,0
280,Pediatric Medicine,NY,0,16,108,0,12,0,12,36,0,0,0
281,Psychiatry,NM,0,0,0,0,0,0,0,0,0,0,0
282,Dentist,SC,0,0,0,0,0,0,0,0,0,0,0
283,Ophthalmology,NY,0,0,0,0,0,0,0,0,0,0,0
284,Dentist,AL,0,0,19,0,0,0,0,0,0,0,0
285,Ophthalmology,NC,0,0,0,0,0,0,0,0,0,0,0
286,Neurology,TX,0,0,37,0,0,28,0,0,0,0,0
287,Nurse Practitioner,GA,0,0,0,0,0,0,0,0,0,0,0
288,Family Practice,KY,0,0,0,0,0,0,0,0,0,0,0
289,Dentist,NY,0,0,0,0,0,0,0,0,0,0,0
290,Pulmonary Disease,TX,0,0,0,0,0,0,0,0,0,0,0
291,Infectious Disease,CA,0,0,43,0,0,0,0,0,0,0,0
292,Dentist,NY,0,0,0,0,0,0,0,0,0,0,0
293,Emergency Medicine,TX,0,0,16,0,0,0,0,0,0,0,0
294,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
295,Dentist,OH,0,0,77,0,0,0,0,0,0,0,0
296,Family Practice,WA,0,0,0,0,0,0,0,0,0,0,0
297,Optometry,IL,0,0,0,0,0,0,0,0,0,0,0
298,Ophthalmology,IL,0,0,0,0,0,0,0,0,0,0,0
299,Internal Medicine,TX,0,0,17,0,0,0,0,0,0,0,0
300,Cardiology,KY,0,0,0,0,0,0,0,0,0,0,0
301,Physician Assistant,WV,0,0,12,0,0,0,0,0,0,0,0
302,Infectious Disease,IN,0,0,0,0,0,0,0,0,0,0,0
303,Family Practice,MI,0,25,1778,178,0,94,12,32,0,0,0
304,Dentist,AZ,0,0,0,0,0,0,0,0,0,0,0
305,Nurse Practitioner,MO,0,0,16,0,0,0,0,0,0,0,0
306,Obstetrics/Gynecology,TX,0,0,0,0,0,12,0,0,0,0,0
307,Dentist,FL,0,0,0,0,0,83,0,0,0,0,0
308,Nurse Practitioner,CA,0,0,87,0,0,20,0,0,0,0,0
309,Emergency Medicine,MA,0,0,0,0,0,0,0,15,0,0,0
310,Emergency Medicine,MD,0,22,20,0,0,65,0,0,0,0,0
311,Cardiology,CA,0,0,0,0,0,0,0,0,0,0,0
312,Internal Medicine,FL,0,26,0,0,0,22,0,0,0,0,0
313,Emergency Medicine,MA,0,0,0,0,0,0,0,0,0,0,0
314,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
315,Physical Medicine and Rehabilitation,PR,0,0,0,0,0,63,0,0,0,0,0
316,Physician Assistant,IL,0,0,0,0,0,0,0,0,0,0,0
317,Nurse Practitioner,WI,0,14,45,0,0,0,0,0,0,0,0
318,Internal Medicine,PA,0,62,48,0,13,23,0,23,0,0,12
319,Cardiology,MA,0,0,0,0,0,0,0,0,0,0,0
320,Family Practice,CA,0,0,162,0,0,39,0,0,0,0,0
321,Nurse Practitioner,WV,0,0,38,0,0,74,0,0,0,0,0
322,Family Practice,WV,0,0,0,0,0,0,0,0,0,0,0
323,Internal Medicine,NE,0,0,0,0,0,0,0,0,0,0,0
324,Family Practice,MO,0,15,71,0,0,28,0,12,0,0,0
325,Internal Medicine,ID,0,0,0,0,0,0,0,0,0,0,0
326,Physician Assistant,KY,0,0,0,0,0,0,0,0,0,0,0
327,Dentist,FL,0,0,0,0,0,0,0,0,0,0,0
328,Dentist,TX,0,0,0,0,0,0,0,0,0,0,0
329,Nurse Practitioner,OH,0,0,0,0,0,0,0,24,0,0,0
330,Family Practice,AL,0,0,0,0,0,0,0,0,0,0,0
331,Physician Assistant,MI,0,0,14,0,0,0,0,0,0,0,0
332,Internal Medicine,MA,0,0,0,0,0,0,0,0,0,0,0
333,Physician Assistant,WV,0,0,0,0,0,0,0,0,0,0,0
334,Nurse Practitioner,WA,0,0,19,0,0,0,0,0,0,0,0
335,Nurse Practitioner,NY,0,0,0,0,0,0,0,0,0,0,0
336,Family Practice,WI,0,0,0,0,0,0,0,0,0,0,0
337,Physician Assistant,WA,0,0,20,0,0,0,0,0,0,0,0
338,Nurse Practitioner,AL,0,0,0,0,0,0,0,0,0,0,0
339,Student in an Organized Health Care Education/Training Program,PA,0,0,0,0,0,0,0,0,0,0,0
340,Internal Medicine,PA,0,0,0,0,0,0,0,0,0,0,0
341,Nurse Practitioner,TX,0,0,0,0,0,0,0,0,0,0,0
342,Nurse Practitioner,MS,0,19,528,11,0,113,0,0,0,0,0
343,Dentist,WA,0,0,0,0,0,0,0,0,0,0,0
344,Psychiatry & Neurology,IL,0,0,0,0,0,0,0,0,0,0,0
345,Optometry,OH,0,0,0,0,0,0,0,0,0,0,0
346,Family Practice,KY,0,0,24,0,0,21,0,0,0,0,0
347,Dentist,GA,0,0,59,0,0,0,0,0,0,0,0
348,Physician Assistant,AR,0,0,18,0,0,0,0,0,0,0,0
349,Family Practice,TX,0,0,0,0,0,20,0,0,0,0,0
350,Family Practice,NY,0,0,0,0,0,0,0,0,0,0,0
351,Nurse Practitioner,CA,0,0,47,0,0,0,34,18,0,0,0
352,Nurse Practitioner,FL,0,0,0,0,0,0,0,0,0,0,0
353,Pulmonary Disease,NY,0,0,0,0,0,0,0,0,0,0,0
354,Physician Assistant,WA,0,0,11,0,0,0,0,0,0,0,0
355,Student in an Organized Health Care Education/Training Program,OH,0,0,0,0,0,0,0,0,0,0,0
356,Nurse Practitioner,MA,0,0,0,0,0,0,0,0,0,0,0
357,Neurology,NY,0,0,0,0,0,0,0,0,0,0,0
358,Podiatry,PA,0,11,0,0,0,0,0,0,0,0,0
359,Dentist,TN,0,0,0,17,0,0,0,0,0,0,0
360,Obstetrics/Gynecology,TX,0,0,0,0,0,0,0,0,0,0,0
361,Physician Assistant,CT,0,12,0,0,0,0,0,0,0,0,0
362,Nurse Practitioner,OH,0,0,0,0,0,0,0,0,0,0,0
363,Nurse Practitioner,VA,0,0,0,0,0,0,0,0,0,0,0
364,Internal Medicine,CA,0,0,22,125,0,29,0,0,0,0,0
365,Obstetrics/Gynecology,PA,0,0,0,0,0,0,0,0,0,0,0
366,Optometry,PA,0,0,0,0,0,0,0,0,0,0,0
367,Allergy/Immunology,MI,0,0,0,0,0,0,0,0,0,0,0
368,Family Practice,IN,0,35,385,0,99,680,18,12,18,0,0
369,Cardiology,DC,0,0,0,0,0,0,0,0,0,0,0
370,Nurse Practitioner,MD,0,0,28,0,0,12,0,0,0,0,0
371,Internal Medicine,VA,0,83,422,114,12,248,0,16,0,0,20
372,Optometry,MO,0,0,0,0,0,0,0,0,0,0,0
373,Orthopedic Surgery,IA,0,31,203,24,0,208,0,0,0,0,0
374,Obstetrics/Gynecology,IL,0,0,0,0,0,0,0,0,0,0,0
375,Nurse Practitioner,TX,0,0,0,0,0,22,0,0,0,0,0
376,Optometry,IA,0,0,0,0,0,0,0,0,0,0,0
377,Orthopedic Surgery,CO,0,76,235,0,0,35,0,64,0,12,23
378,Ophthalmology,NC,0,0,0,0,0,0,0,0,0,0,0
379,Cardiology,FL,0,0,0,0,0,0,0,0,0,0,0
380,Dentist,WI,0,0,0,0,0,0,0,0,0,0,0
381,Emergency Medicine,GA,0,0,49,0,0,42,0,0,0,0,0
382,Nurse Practitioner,OH,0,0,0,0,0,0,0,0,0,0,0
383,Family Practice,NY,0,0,0,0,0,26,0,0,0,0,0
384,Family Practice,CA,0,0,21,12,0,0,0,0,0,0,0
385,Family Practice,GA,0,130,211,0,72,175,17,0,21,0,0
386,Internal Medicine,MN,0,61,184,0,30,343,0,0,0,12,0
387,Internal Medicine,PA,0,45,48,44,0,114,0,0,0,0,0
388,Endocrinology,KY,0,0,0,0,0,0,0,0,0,0,0
389,Emergency Medicine,NY,0,0,0,21,0,0,0,0,0,0,0
390,Physician Assistant,MN,0,0,0,0,0,0,0,0,0,0,0
391,Internal Medicine,CA,0,0,0,0,0,0,0,0,0,0,0
392,Nurse Practitioner,CA,0,17,15,0,0,0,0,0,0,0,0
